frame,x_0,y_0,v_0,x_1,y_1,v_1,x_2,y_2,v_2,x_3,y_3,v_3,x_4,y_4,v_4,x_5,y_5,v_5,x_6,y_6,v_6,x_7,y_7,v_7,x_8,y_8,v_8,x_9,y_9,v_9,x_10,y_10,v_10,x_11,y_11,v_11,x_12,y_12,v_12,x_13,y_13,v_13,x_14,y_14,v_14,x_15,y_15,v_15,x_16,y_16,v_16,x_17,y_17,v_17,x_18,y_18,v_18,x_19,y_19,v_19,x_20,y_20,v_20,x_21,y_21,v_21,x_22,y_22,v_22,x_23,y_23,v_23,x_24,y_24,v_24,x_25,y_25,v_25,x_26,y_26,v_26,x_27,y_27,v_27,x_28,y_28,v_28,x_29,y_29,v_29,x_30,y_30,v_30,x_31,y_31,v_31,x_32,y_32,v_32
97,0.6805259585380554,0.266948401927948,0.9919041991233826,0.6801756620407104,0.25932061672210693,0.9917713403701782,0.6806222200393677,0.26015371084213257,0.9926793575286865,0.6810950636863708,0.2610361576080322,0.9923288822174072,0.6796380281448364,0.2572707235813141,0.9903980493545532,0.6795535087585449,0.256879597902298,0.9916676878929138,0.6794725060462952,0.2564338445663452,0.992647647857666,0.684512734413147,0.2668741047382355,0.9950249791145325,0.6825358867645264,0.26034295558929443,0.9949702024459839,0.6831792593002319,0.2773209810256958,0.9934495091438293,0.6824232339859009,0.275760293006897,0.9921939969062805,0.7043466567993164,0.30829429626464844,0.999720573425293,0.6876742839813232,0.2847624123096466,0.9986894726753235,0.7390084862709045,0.32458361983299255,0.7204398512840271,0.6959289312362671,0.28900763392448425,0.25473570823669434,0.6971125602722168,0.319091796875,0.3984221816062927,0.6750780344009399,0.25907838344573975,0.35124632716178894,0.6885393261909485,0.3231383264064789,0.3701576292514801,0.6622904539108276,0.2703583240509033,0.42298170924186707,0.683556079864502,0.31383806467056274,0.3686545789241791,0.6609809994697571,0.274078369140625,0.4386405646800995,0.6873032450675964,0.3114420473575592,0.32643723487854004,0.6635686159133911,0.27790671586990356,0.4054557681083679,0.7423291802406311,0.4104316830635071,0.9999282956123352,0.7337043881416321,0.3940371572971344,0.9997864961624146,0.7121850848197937,0.3918684124946594,0.663339376449585,0.7132645845413208,0.33180344104766846,0.18662531673908234,0.7312361598014832,0.40577298402786255,0.6915161609649658,0.7339329123497009,0.41398894786834717,0.32733315229415894,0.7367820739746094,0.40322792530059814,0.7060592174530029,0.7380256652832031,0.42443081736564636,0.34878361225128174,0.7263045310974121,0.419914573431015,0.5851635336875916,0.7364471554756165,0.4414962828159332,0.2884659171104431
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,0.6766278147697449,0.2612763047218323,0.9926216006278992,0.6778842210769653,0.2527826428413391,0.9925476908683777,0.6787212491035461,0.2530548870563507,0.9933552742004395,0.6795745491981506,0.25337690114974976,0.9930456876754761,0.6772618889808655,0.25133517384529114,0.9913093447685242,0.677483081817627,0.25086894631385803,0.9924518465995789,0.6777141094207764,0.2503443956375122,0.9933347105979919,0.6862492561340332,0.2567361295223236,0.9954944252967834,0.6841321587562561,0.25207656621932983,0.9954319596290588,0.6806215643882751,0.27034997940063477,0.9940758943557739,0.67955482006073,0.2696540355682373,0.9929463863372803,0.7043997645378113,0.3011876046657562,0.9997417330741882,0.6954274773597717,0.2766176164150238,0.9988036751747131,0.7275508046150208,0.3405986726284027,0.7391899228096008,0.7002137303352356,0.325772762298584,0.2391573190689087,0.692025899887085,0.331554114818573,0.4518202543258667,0.6789388656616211,0.31664448976516724,0.34961387515068054,0.6858880519866943,0.3411824703216553,0.4213000535964966,0.6739212274551392,0.315123975276947,0.4210267663002014,0.6827343106269836,0.3302733600139618,0.4190121293067932,0.6724584698677063,0.31362077593803406,0.4356790781021118,0.6858931183815002,0.3293723464012146,0.37707123160362244,0.6746684908866882,0.3153843879699707,0.4053962826728821,0.7467260360717773,0.403114914894104,0.9999204277992249,0.7404181361198425,0.3848930299282074,0.9997910261154175,0.6971368193626404,0.36993348598480225,0.686160147190094,0.7008465528488159,0.3219739496707916,0.19489693641662598,0.7089713215827942,0.4120018482208252,0.6712512969970703,0.719499409198761,0.41887366771698,0.3246142268180847,0.7154003977775574,0.4186968207359314,0.6832700967788696,0.7259773015975952,0.4324571490287781,0.34174415469169617,0.6980049014091492,0.4215066134929657,0.5769535899162292,0.7134947776794434,0.4484493136405945,0.29677310585975647
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,0.6609500646591187,0.3141954839229584,0.9931783676147461,0.6602639555931091,0.30746781826019287,0.9931353330612183,0.6606060862541199,0.3075249493122101,0.993820071220398,0.6610238552093506,0.3074800372123718,0.9935674667358398,0.659600555896759,0.30822521448135376,0.9919779896736145,0.6574867963790894,0.3016166388988495,0.9929710626602173,0.6573798060417175,0.30164048075675964,0.9937854409217834,0.6688651442527771,0.29535114765167236,0.9958041310310364,0.6645792126655579,0.29741087555885315,0.995680570602417,0.666427731513977,0.3153829276561737,0.9945540428161621,0.663813054561615,0.3107953667640686,0.9935342073440552,0.6927773356437683,0.3059719502925873,0.999758780002594,0.6775267720222473,0.31927210092544556,0.9989088773727417,0.7252963781356812,0.329824298620224,0.7603585124015808,0.6942399740219116,0.3705419898033142,0.23249611258506775,0.6836408376693726,0.3293604254722595,0.5020924806594849,0.6930277943611145,0.38966500759124756,0.34764349460601807,0.6775579452514648,0.3452078104019165,0.47190773487091064,0.6926876306533813,0.3976505994796753,0.41478753089904785,0.6715081334114075,0.3271775245666504,0.46923187375068665,0.6910223960876465,0.39432021975517273,0.42864906787872314,0.6734126806259155,0.32592082023620605,0.42766764760017395,0.6912670135498047,0.39314723014831543,0.3999693989753723,0.7403627038002014,0.40260887145996094,0.9999254941940308,0.7339040040969849,0.4069090485572815,0.9998060464859009,0.7303261756896973,0.3908883035182953,0.6746713519096375,0.724058210849762,0.3579123616218567,0.19047796726226807,0.7529304623603821,0.4047662913799286,0.6526172757148743,0.7509691715240479,0.41904255747795105,0.32694265246391296,0.7552124261856079,0.39899471402168274,0.6762968897819519,0.7537117600440979,0.42517438530921936,0.35551533102989197,0.7639124989509583,0.42667156457901,0.5884906649589539,0.7640162110328674,0.4464460611343384,0.3258063793182373
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,0.6564290523529053,0.3078702390193939,0.9934523701667786,0.6530807018280029,0.30040913820266724,0.9935570955276489,0.6533353924751282,0.30010175704956055,0.9940922260284424,0.653597891330719,0.2998545467853546,0.9939096570014954,0.6533164978027344,0.2987755537033081,0.9924308657646179,0.6537356376647949,0.2974485754966736,0.9931857585906982,0.6541855335235596,0.29600992798805237,0.9939438104629517,0.659332275390625,0.2966163754463196,0.9955843687057495,0.6602428555488586,0.2896389067173004,0.995442807674408,0.6616286635398865,0.3107472062110901,0.9942154884338379,0.6618607640266418,0.30988550186157227,0.9933751225471497,0.6729514598846436,0.32238948345184326,0.9996183514595032,0.6848360300064087,0.2891511917114258,0.9989041090011597,0.6670467257499695,0.3471807837486267,0.7363054156303406,0.678831160068512,0.30709436535835266,0.2142549306154251,0.6408915519714355,0.33050107955932617,0.5356385707855225,0.645609438419342,0.3146405816078186,0.34886807203292847,0.6335931420326233,0.32849395275115967,0.5112227201461792,0.6387051343917847,0.31086793541908264,0.41583922505378723,0.6338781714439392,0.3238593339920044,0.508617639541626,0.6388363242149353,0.3072684109210968,0.42971858382225037,0.6358330845832825,0.32405292987823486,0.4671274423599243,0.6423120498657227,0.31704002618789673,0.40304628014564514,0.7414770126342773,0.3943139314651489,0.9996517896652222,0.7496138215065002,0.371155321598053,0.99942946434021,0.6840204000473022,0.3586500287055969,0.6348225474357605,0.6959594488143921,0.3275817632675171,0.17437876760959625,0.6484724283218384,0.34589052200317383,0.6254578828811646,0.6610147953033447,0.34559503197669983,0.30330008268356323,0.6448651552200317,0.3485344648361206,0.6554672718048096,0.656782329082489,0.35443633794784546,0.33253413438796997,0.6356292963027954,0.31417787075042725,0.5777992606163025,0.6479992866516113,0.33107566833496094,0.309261679649353
122,0.6482354402542114,0.31128206849098206,0.9938910603523254,0.6465908288955688,0.30478110909461975,0.9940766096115112,0.6467183828353882,0.30506905913352966,0.9945571422576904,0.6468563675880432,0.3054278790950775,0.9944162964820862,0.6475726962089539,0.30258259177207947,0.9930227398872375,0.6483718156814575,0.3013611435890198,0.9936935901641846,0.649185299873352,0.3000652492046356,0.9943503737449646,0.6527576446533203,0.305936723947525,0.9959304928779602,0.6562884449958801,0.2976094186306,0.9957236647605896,0.6524182558059692,0.31708407402038574,0.9946338534355164,0.6534404158592224,0.31476330757141113,0.9938883185386658,0.6673083901405334,0.33066266775131226,0.9996352195739746,0.6764358282089233,0.3125284016132355,0.9989539980888367,0.6704841256141663,0.34528666734695435,0.7233491539955139,0.6752422451972961,0.3133619427680969,0.19963449239730835,0.639408528804779,0.3230198621749878,0.5625419020652771,0.6398213505744934,0.3106452226638794,0.33928659558296204,0.6301068663597107,0.31829607486724854,0.5415941476821899,0.6330336332321167,0.3054920434951782,0.40557828545570374,0.6303520798683167,0.3108406960964203,0.5384650826454163,0.6286642551422119,0.30727827548980713,0.4189595580101013,0.632409930229187,0.3112678825855255,0.49451544880867004,0.6308609247207642,0.3141448199748993,0.395342618227005,0.737324595451355,0.40141990780830383,0.9996626973152161,0.7401509881019592,0.3904094994068146,0.9994457960128784,0.7068942785263062,0.3363102674484253,0.6383287310600281,0.7031190991401672,0.3264928460121155,0.1782902181148529,0.6611411571502686,0.33681103587150574,0.6020531058311462,0.6641461253166199,0.3424925208091736,0.2959708571434021,0.6568239331245422,0.34241920709609985,0.6277288198471069,0.6587158441543579,0.35103338956832886,0.3290812075138092,0.6389807462692261,0.30977877974510193,0.5607674717903137,0.6503957509994507,0.3267906904220581,0.3150392174720764
123,0.6442664861679077,0.3189633786678314,0.9942137002944946,0.6431347131729126,0.31001991033554077,0.9944860935211182,0.6437708735466003,0.30882135033607483,0.994869589805603,0.6444081664085388,0.30777111649513245,0.9948229193687439,0.642477810382843,0.3122367560863495,0.9935462474822998,0.6426228284835815,0.31256407499313354,0.9940578937530518,0.6427801847457886,0.31288641691207886,0.9946761727333069,0.650632381439209,0.30509045720100403,0.9961414933204651,0.6481396555900574,0.31095394492149353,0.9958145022392273,0.6497200727462769,0.3220205307006836,0.9947080016136169,0.6488548517227173,0.3243925869464874,0.9939839839935303,0.668085515499115,0.31003883481025696,0.9996537566184998,0.6676956415176392,0.34405484795570374,0.9990363717079163,0.6721683740615845,0.3066038489341736,0.7106752395629883,0.6738004684448242,0.3601134717464447,0.18232643604278564,0.6371503472328186,0.3162376582622528,0.5648250579833984,0.6426194310188293,0.34621462225914,0.31315183639526367,0.627280592918396,0.3153565227985382,0.5443235635757446,0.6376233100891113,0.3407135009765625,0.3758324682712555,0.6272023916244507,0.309467077255249,0.5392938852310181,0.6294366121292114,0.34150823950767517,0.38745835423469543,0.6289015412330627,0.3102363646030426,0.48922982811927795,0.6327551603317261,0.3428868353366852,0.36626261472702026,0.7375324964523315,0.37462127208709717,0.9996851086616516,0.7344802021980286,0.4129662811756134,0.9994909167289734,0.692559540271759,0.2907909154891968,0.6478314995765686,0.690710186958313,0.357207328081131,0.1957826167345047,0.6246209144592285,0.26481297612190247,0.5991584062576294,0.6588811278343201,0.3449280560016632,0.2912958264350891,0.6195183992385864,0.2729540169239044,0.6316381096839905,0.6557005643844604,0.35135141015052795,0.3330658972263336,0.5936790108680725,0.2185169905424118,0.5766191482543945,0.6438648700714111,0.32255008816719055,0.32316142320632935
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,0.6224222183227539,0.30837854743003845,0.9943665862083435,0.6192116737365723,0.3011034429073334,0.9947784543037415,0.6193061470985413,0.2981882691383362,0.9950792789459229,0.619014322757721,0.2960875332355499,0.9950682520866394,0.6198873519897461,0.3041370213031769,0.9937976598739624,0.6200770735740662,0.30428779125213623,0.9941099882125854,0.620086669921875,0.3044099807739258,0.9947516322135925,0.6217493414878845,0.2873508334159851,0.9962310194969177,0.6226381063461304,0.29719242453575134,0.9956163763999939,0.6268125772476196,0.3032075762748718,0.9946346879005432,0.6275809407234192,0.30678555369377136,0.9935586452484131,0.6356720924377441,0.27598369121551514,0.9993999600410461,0.6415427923202515,0.29864245653152466,0.9985224008560181,0.5955169200897217,0.294155091047287,0.7354452610015869,0.6167312264442444,0.31823021173477173,0.1861296147108078,0.5679194927215576,0.30643898248672485,0.5962640047073364,0.5790261030197144,0.31662625074386597,0.3314167857170105,0.5548719763755798,0.3043883442878723,0.574055552482605,0.5765936374664307,0.31615278124809265,0.3919031023979187,0.5554614067077637,0.30311089754104614,0.5685741901397705,0.5731889605522156,0.31436261534690857,0.4032452702522278,0.5584007501602173,0.30370864272117615,0.5197155475616455,0.5750505328178406,0.3155577778816223,0.3846791386604309,0.711143970489502,0.3391713500022888,0.9995049834251404,0.7054635286331177,0.3531064987182617,0.9993236660957336,0.6932775974273682,0.36196836829185486,0.6789479851722717,0.6632584929466248,0.4168641269207001,0.24332837760448456,0.6620377898216248,0.3746759295463562,0.630408525466919,0.6660164594650269,0.4048750102519989,0.3416658043861389,0.6557741761207581,0.37580612301826477,0.6562455892562866,0.6653710603713989,0.40292641520500183,0.3813525438308716,0.6553999185562134,0.369038462638855,0.609432578086853,0.6656373739242554,0.400500625371933,0.37622207403182983
145,0.621536135673523,0.3069886267185211,0.9948799014091492,0.618338406085968,0.2987403869628906,0.995278000831604,0.6182557940483093,0.2960239052772522,0.9955452680587769,0.6179651021957397,0.2936194837093353,0.995545506477356,0.6187326908111572,0.30320045351982117,0.994388222694397,0.6188875436782837,0.30362021923065186,0.9946544170379639,0.6188856363296509,0.30399948358535767,0.9952489137649536,0.6198955178260803,0.2837703824043274,0.9965779185295105,0.6189687848091125,0.29206353425979614,0.9960108399391174,0.6253647208213806,0.30165886878967285,0.9950441122055054,0.6256126165390015,0.3063461184501648,0.9940166473388672,0.6359752416610718,0.2691999077796936,0.9993711113929749,0.6396777629852295,0.30120691657066345,0.9982840418815613,0.5988309383392334,0.2931617796421051,0.7534059286117554,0.6205642819404602,0.33469778299331665,0.19394724071025848,0.567919909954071,0.3064505457878113,0.6280252933502197,0.5798113942146301,0.3191770911216736,0.3482998013496399,0.5560346245765686,0.31082889437675476,0.6049535870552063,0.5795431137084961,0.32846444845199585,0.4034804701805115,0.555795431137085,0.30824190378189087,0.5989822745323181,0.5699424743652344,0.3150108754634857,0.41306251287460327,0.5593066811561584,0.30746790766716003,0.5497225522994995,0.5730052590370178,0.3147203326225281,0.39459529519081116,0.7123382091522217,0.3299635648727417,0.999544084072113,0.7014769315719604,0.3561536967754364,0.9993785619735718,0.7165046334266663,0.34858930110931396,0.7080207467079163,0.6632178425788879,0.420013427734375,0.3122611939907074,0.7077680826187134,0.38162198662757874,0.6322957277297974,0.7080490589141846,0.4106822609901428,0.38802477717399597,0.7044652104377747,0.37825724482536316,0.6575573682785034,0.7128490209579468,0.40362298488616943,0.41857558488845825,0.7067443132400513,0.42099910974502563,0.6185989379882812,0.7204044461250305,0.425309419631958,0.4231571555137634
146,0.6168875098228455,0.30501052737236023,0.995219349861145,0.6110962629318237,0.2982470691204071,0.99566650390625,0.612215518951416,0.29444947838783264,0.9958998560905457,0.612127423286438,0.2927773594856262,0.9959196448326111,0.6121195554733276,0.3009955585002899,0.994819164276123,0.6120638847351074,0.3011367619037628,0.9950027465820312,0.612012505531311,0.30125561356544495,0.9955865144729614,0.6149062514305115,0.2839670479297638,0.9967977404594421,0.6135885715484619,0.29004016518592834,0.9961674809455872,0.6219085454940796,0.29984989762306213,0.9952242374420166,0.6216459274291992,0.3041016757488251,0.9940862655639648,0.6353758573532104,0.2607172429561615,0.9992321729660034,0.6334733366966248,0.30113136768341064,0.9977888464927673,0.5988324284553528,0.2930449843406677,0.7725906372070312,0.6118148565292358,0.33181264996528625,0.23040498793125153,0.5634461641311646,0.30624768137931824,0.658531904220581,0.5761282444000244,0.3191990256309509,0.3826296031475067,0.5554400086402893,0.31412824988365173,0.6357296705245972,0.5679869055747986,0.3231739401817322,0.42778611183166504,0.5537324547767639,0.3114246129989624,0.629750669002533,0.5630475282669067,0.3174130916595459,0.43647438287734985,0.558439314365387,0.3080090284347534,0.5811657309532166,0.5692107081413269,0.3143535554409027,0.418985515832901,0.7123411893844604,0.3306943476200104,0.9995614886283875,0.7004539370536804,0.356567919254303,0.9993953108787537,0.7010294198989868,0.35047855973243713,0.7341635823249817,0.655739426612854,0.419268935918808,0.36325815320014954,0.7093191742897034,0.3871631324291229,0.6488476991653442,0.7069898247718811,0.4102634787559509,0.42262476682662964,0.7105165123939514,0.3794715106487274,0.6706579923629761,0.708549976348877,0.3999948799610138,0.44991204142570496,0.7126783728599548,0.42698097229003906,0.635854184627533,0.7157760858535767,0.42941588163375854,0.45622947812080383
147,0.611404299736023,0.3073541522026062,0.9956256151199341,0.606200098991394,0.30000069737434387,0.9960709810256958,0.6076081991195679,0.29534196853637695,0.9962788224220276,0.6074951887130737,0.2933257520198822,0.9963058233261108,0.6067172288894653,0.3038700819015503,0.9952942132949829,0.6067659258842468,0.30423393845558167,0.9954429268836975,0.6068370938301086,0.3046151399612427,0.9959858655929565,0.6100054383277893,0.2841065227985382,0.9970818758010864,0.6108933091163635,0.2947414517402649,0.9964750409126282,0.6162237524986267,0.3006730377674103,0.9955447912216187,0.616537868976593,0.3055650591850281,0.994358241558075,0.627230167388916,0.2546301782131195,0.9992374181747437,0.6344245672225952,0.3066679835319519,0.9974079132080078,0.5979094505310059,0.2883879840373993,0.7876277565956116,0.6200565099716187,0.34363284707069397,0.2439316362142563,0.563694953918457,0.299610435962677,0.6854734420776367,0.5901499390602112,0.32479068636894226,0.4094228446483612,0.5574854612350464,0.3005653917789459,0.6624338030815125,0.5810855627059937,0.32280126214027405,0.4464510977268219,0.5589909553527832,0.3111971318721771,0.6561615467071533,0.5801793932914734,0.3179016411304474,0.45315924286842346,0.5634504556655884,0.3005348742008209,0.6084868311882019,0.584272027015686,0.31616777181625366,0.4363391399383545,0.7095938920974731,0.3263150155544281,0.9995962977409363,0.693908154964447,0.358305960893631,0.9994440078735352,0.7218409180641174,0.34953004121780396,0.7590439319610596,0.6503232717514038,0.4282298982143402,0.42027875781059265,0.7093245387077332,0.3855448365211487,0.6575912237167358,0.7030755281448364,0.4031848907470703,0.4630330204963684,0.709662914276123,0.3738856911659241,0.6728575825691223,0.7056115865707397,0.39024025201797485,0.4842773377895355,0.7110697031021118,0.42109760642051697,0.6461914777755737,0.7158432006835938,0.42256855964660645,0.49592214822769165
